sentence,label
وتوجد بعض المنتجات كاللفت والخس في مرحلة الحصاد و أخرى في مرحلة النضج وحصادها في غضون شهر.,وتوجد بعض المنتجات كاللفت والخس في مرحلة الحصاد و أخرى في مرحلة النضج وحصادها ___ في غضون شهر.
الملابس الدافئة والكنزات والجوارب.,الملابس الدافئة والكنزات والجوارب ___.
البطيء,البطيء
هم يحبون كرة القدم ونحن كرة السلة,هم يحبون كرة القدم ونحن ___ كرة السلة
جان جاك روسو,جان جاك روسو
أنا أذهب إلى النادي وهو إلى المصنع,أنا أذهب إلى النادي وهو ___ إلى المصنع
ربما قبل عقود من الزمان كان بالإمكان إخفاء الكثير من الممارسات، أما الآن فلا.,"ربما قبل عقود من الزمان كان بالإمكان إخفاء الكثير من الممارسات، أما الآن فلا ___ .

The elided phrase in this sentence is likely a verb phrase such as ""يمكن إخفاء الكثير من الممارسات"" (it is possible to hide many practices), which is implied by the preceding clause."
الليل,الليل
سيناقشون الرواية الجديدة يوم الخميس و الكتاب يوم الجمعة.,سيناقشون الرواية الجديدة يوم الخميس و ___ الكتاب يوم الجمعة.
فإن التطبيقات الذكية هي طريقك المختصر للوصول إلى مبيعات مرضية ولكن كيف ؟,فإن التطبيقات الذكية هي طريقك المختصر للوصول إلى مبيعات مرضية ولكن كيف ___ ؟
يجب أن تبدأ بتسديده عندما تبدأ بالعمل ولكن قبلها فلا,يجب أن تبدأ بتسديده عندما تبدأ بالعمل ولكن قبلها فلا ___
وفجأة خرج عليها والدها وطلب منها أن تعيد عليه الأبيات فرفضت.,وفجأة خرج عليها والدها وطلب منها أن تعيد عليه الأبيات فرفضت ___ .
أي طرق الاتصال بين الحضارة الإسلامية و أوروبا كانت أكثر تأثيرا في النهضة الأوروبية من وجهة نظرك . و لماذا ؟,أي طرق الاتصال بين الحضارة الإسلامية و أوروبا كانت أكثر تأثيرا في النهضة الأوروبية من وجهة نظرك . و لماذا ؟
وخصوصاً أن أوضاعك المالية ما زالت تعاني من خلل كبير . طبعاً ، ستجني المال عما قريب ، ولكن متى ؟,وخصوصاً أن أوضاعك المالية ما زالت تعاني من خلل كبير . طبعاً ، ستجني المال عما قريب ، ولكن متى ___ ؟
جيمس وات,جيمس وات
توسلت للمسؤولة أن تدخل معي والدتي على الأقل فرفضت.,توسلت للمسؤولة أن تدخل معي والدتي على الأقل فرفضت ___.
بعدم مشاركة المعلومات الشخصية.,بعدم مشاركة المعلومات الشخصية.
أنا أتحدث باللغة العربية وهو باللغة الفرنسية,أنا أتحدث باللغة العربية وهو ___ يتحدث باللغة الفرنسية
بالمشاركة في الأعمال الخيرية.,بالمشاركة في الأعمال الخيرية.
في الأعياد والمناسبات الخاصة.,في الأعياد والمناسبات الخاصة.
التسامح يطيل العمر، فأطول الناس أعماراً هم أكثرهم تسامحاً ولكن لماذا ؟,التسامح يطيل العمر، فأطول الناس أعماراً هم أكثرهم تسامحاً ولكن لماذا ___ ؟
متى أخذت القرار بأن تصبح مصمم للألعاب، ولماذا ؟,متى أخذت القرار بأن تصبح مصمم للألعاب، ولماذا ___ أخذت القرار بأن تصبح مصمم للألعاب ؟
كما أحرز هدفًا عن طريق ركلة جزاء و آخر عن طريق ركلة حرة مباشرة.,كما أحرز هدفًا عن طريق ركلة جزاء و ___ آخر عن طريق ركلة حرة مباشرة.
وثائق مسربة قال إنها لوزارة الخارجية السعودية وأخرى عن وزارة الداخلية والاستخبارات العامة في هذا البلد,وثائق مسربة قال إنها لوزارة الخارجية السعودية وأخرى ___ عن وزارة الداخلية والاستخبارات العامة في هذا البلد
بمنحها العناية والحب.,بمنحها العناية والحب ___.
غني,غني
الأخضر,الأخضر
حاولت بكل الطرق أن اجعله يبدو مشرقا و جميلا و لكنني نسيت.,حاولت بكل الطرق أن اجعله يبدو مشرقا و جميلا و لكنني نسيت ___.
بحضور العروض والمعارض.,بحضور العروض والمعارض.
وكانت إسراء تعتقد أنهن ولدن أمهات بالفطرة، أما هي فلا.,وكانت إسراء تعتقد أنهن ولدن أمهات بالفطرة، أما هي فلا ___.
أنا أقرأ الكتب وهو المجلات,أنا أقرأ الكتب وهو ___ المجلات
من السوق المحلي.,من السوق المحلي.
أنا ألعب كرة الطائرة وهو كرة القدم,أنا ألعب كرة الطائرة وهو ___ كرة القدم
والعبارة هي أننا سامحناكم في سبكم للمسلمين وعلمائهم ولكن الرسول الكريم صلى الله عليه وآله وسلم، فلا.,والعبارة هي أننا سامحناكم في سبكم للمسلمين وعلمائهم ولكن ___ سب ___ الرسول الكريم صلى الله عليه وآله وسلم، فلا ___ نسامحكم ___.
وتقبيل النساء من المحارم لا بأس به، ولكن العلماء كرهوه إلا في الأم فيقبل الرجل رأسها أو جبهتها وكذلك البنت.,وتقبيل النساء من المحارم لا بأس به، ولكن العلماء كرهوه إلا في الأم فيقبل الرجل رأسها أو جبهتها وكذلك ___ يقبل الرجل ___ البنت.
نيلسون مانديلا,نيلسون مانديلا
بحل النزاعات.,بحل النزاعات.
دمتم بكل الخير و الحب و السلام نعم يوجد علاج! ولكن أين ؟,دمتم بكل الخير و الحب و السلام نعم يوجد علاج! ولكن أين ___ ؟
هل تتخيل نفسك أن تعيش في جزيرة لوحدك و لماذا ؟,هل تتخيل نفسك أن تعيش في جزيرة لوحدك و لماذا ___؟
على الرفوف.,على الرفوف.
في الأنهار والبحار.,في الأنهار والبحار.
أنا أقرأ الصحف وهو الكتب,أنا أقرأ الصحف وهو ___ الكتب
من تتمنى أن يكون الضيف بعدك و لماذا ؟,من تتمنى أن يكون الضيف بعدك ___ و لماذا ___؟
فدراسة تتحدث عن الفوائد وعن المضار,فدراسة تتحدث عن الفوائد وعن المضار ___
"هل من مرةَ شعرتَ بأنك شخصَ "" فاشل "" ومتى ؟","هل من مرةَ شعرتَ بأنك شخصَ "" فاشل "" ___ ومتى ___؟"
ميغيل دي سرفانتس,ميغيل دي سرفانتس
ونقيب أطباء الجيزة وممثل عن هيئة الإسعاف، و آخر عن مديرية الشئون الصحية بالجيزة.,ونقيب أطباء الجيزة وممثل عن هيئة الإسعاف، و آخر ___ عن مديرية الشئون الصحية بالجيزة.
طلبوا منها أن تأتي معهن وتنضم إليهن ، لكنها رفضت.,طلبوا منها أن تأتي معهن وتنضم إليهن ، لكنها رفضت ___.
الآلة الحاسبة أو التطبيقات.,الآلة الحاسبة أو ___ التطبيقات ___.
ورفع الحصار الظالم عن غزة، ومشروع قرار حول الاستيطان و آخر عن الحل السياسي من كافة جوانبه,ورفع الحصار الظالم عن غزة، ومشروع قرار حول الاستيطان و آخر ___ عن الحل السياسي من كافة جوانبه
الجنجويد يأتون على الجياد، أما الجيش فلا.,الجنجويد يأتون على الجياد، أما الجيش فلا ___.
أخبرت موسس بأني أريد أن أساعده بالتجديف ، استغرب ، لكنه وافق.,أخبرت موسس بأني أريد أن أساعده بالتجديف ، استغرب ، لكنه وافق ___.
فالمملكة تعد من إحدى الدول القليلة التي لا تحاكم المرأة إذا قادت السيارة تحت تأثير الخمور ولكن لماذا ؟,فالمملكة تعد من إحدى الدول القليلة التي لا تحاكم المرأة إذا قادت السيارة تحت تأثير الخمور ولكن لماذا ___ ؟
أرمل,أرمل
البطاقات الائتمانية والحسابات البنكية.,البطاقات الائتمانية والحسابات البنكية.
الأكيد أنه يجب ايقاف ماكينة الموت اليومية على الطرق اللبنانية! ولكن كيف ؟,الأكيد أنه يجب ايقاف ماكينة الموت اليومية على الطرق اللبنانية! ولكن كيف ___ ؟
أقنعها بأن العلم شيء نبيل والزواج كذلك.,أقنعها بأن العلم شيء نبيل والزواج ___ كذلك.
خسارة,خسارة
الأصفر,الأصفر
اللياقة والصحة.,اللياقة والصحة.
الدقيق,الدقيق
بالمحافظة على الطبيعة.,بالمحافظة على الطبيعة.
كانت كل يوم تغير مكانها... للأسف فقط جلوسها أمامي يسبب لها الوجع ولكن الأماكن الأخرى فلا!,كانت كل يوم تغير مكانها... للأسف فقط جلوسها أمامي يسبب لها الوجع ولكن الأماكن الأخرى ___ لا ___!
تمكين الأفراد وتطوير المجتمع.,تمكين الأفراد وتطوير المجتمع.
هم يزورون المتحف ونحن الحديقة,هم يزورون المتحف ونحن ___ الحديقة
إننا نحث السلطات السورية على الإفراج عن كل من الرجلين، وكذلك عن كل الذين اعتقلوا لتعبيرهم عن آراهم,إننا نحث السلطات السورية على الإفراج عن كل من الرجلين، وكذلك عن كل الذين اعتقلوا لتعبيرهم عن آراهم ___.
هل يمكن ذلك عن طريق أى جامعة أجنبية أو عربية و كيف ؟,هل يمكن ذلك عن طريق أى جامعة أجنبية أو عربية و كيف ___ ؟
وأمرت في هذا الصدد بإحالة تلك الدعوى الخاصة بالتابلت لهيئة مفوضي الدولة ولكن لماذا ؟,وأمرت في هذا الصدد بإحالة تلك الدعوى الخاصة بالتابلت لهيئة مفوضي الدولة ولكن لماذا ___ ؟
طوكيو,طوكيو
رأيت شخصاً طلب من موقع تشات جي بي تي أن ينتج قصيدة تمدح دونالد ترامب ، لكنه رفض.,رأيت شخصاً طلب من موقع تشات جي بي تي أن ينتج قصيدة تمدح دونالد ترامب ، لكنه رفض ___.
البرتغالية,البرتغالية
أصر مصطفى همسا أن أبقى . . لست أدري لماذا قبلت.,أصر مصطفى همسا أن أبقى ___ . لست أدري لماذا قبلت.
لا تزال هنالك أسئلة يصعب الإجابة عنها، ولكن لماذا ؟,لا تزال هنالك أسئلة يصعب الإجابة عنها، ولكن لماذا ___ ؟
كثيرا من الأسرار التي لا يعرفها كثيرون عن الحرب العراقية الإيرانية، وكذلك عن حرب الخليج الثانية,كثيرا من الأسرار التي لا يعرفها كثيرون عن الحرب العراقية الإيرانية، وكذلك ___ عن حرب الخليج الثانية
الصوديوم,الصوديوم
الأردن تقع شرق فلسطين والعراق غربها,الأردن تقع شرق فلسطين والعراق ___ غرب الأردن
الروديوم,الروديوم
كما سيقام مؤتمر طفل القرية بقصر ثقافة تصفا بمحافظة القليوبية و آخر عن الحرف التقليدية رؤية مستقبلية.,كما سيقام مؤتمر طفل القرية بقصر ثقافة تصفا بمحافظة القليوبية و ___ سيقام مؤتمر ___ آخر عن الحرف التقليدية رؤية مستقبلية.
أنا أحب السباحة وهو الركض,أنا أحب السباحة وهو ___ الركض
بالاهتمام والاحترام.,بالاهتمام والاحترام.
لسماع حكمة جديدة كل يوم وأخرى عن عالمات الفلك والنجوم,لسماع حكمة جديدة كل يوم وأخرى ___ عن عالمات الفلك والنجوم
ونسمع بين فترة وأخرى عن تكون السحب السوداء,ونسمع بين فترة وأخرى عن تكون السحب السوداء
رحب بها بحرارة وطلب منها أن تجلس لترتاح لكنها رفضت.,رحب بها بحرارة وطلب منها أن تجلس لترتاح لكنها رفضت ___.
هم يستمعون إلى الموسيقى ونحن الأفلام,هم يستمعون إلى الموسيقى ونحن ___ الأفلام
في الجريدة أو الإذاعة.,في الجريدة أو ___ في ___ الإذاعة.
تهطل الأمطار في مصر في فصل الشتاء و في أمريكا طوال العام.,تهطل الأمطار في مصر في فصل الشتاء و ___ في أمريكا طوال العام.
نحن نستمع إلى الموسيقى وهم إلى البودكاست,نحن نستمع إلى الموسيقى وهم ___ يستمعون إلى البودكاست
أنا أشاهد الأفلام الرومانسية وهم أفلام الرعب,أنا أشاهد الأفلام الرومانسية وهم ___ يشاهدون أفلام الرعب
الثقة,الثقة
هو يسافر إلى الشرق ونحن إلى الغرب,هو يسافر إلى الشرق ونحن ___ إلى الغرب
عندما أطلب منه أن نذهب للتسوق يكون رده بأنني أستطيع أن أتسوق بمفردي! نعم بالطبع أستطيع ولكن لماذا ؟,عندما أطلب منه أن نذهب للتسوق يكون رده بأنني أستطيع أن أتسوق بمفردي! نعم بالطبع أستطيع ___ ولكن لماذا ___؟
فبادرني بالقول: سنصبح عائلة واحدة، فأجبته:;كيف ؟,فبادرني بالقول: سنصبح عائلة واحدة، فأجبته: ___ ;كيف ؟
الملابس والمستلزمات الشخصية.,الملابس والمستلزمات الشخصية.
الغراء أو البراغي.,الغراء أو البراغي.
أنا أحب البرتقال وهي التفاح,أنا أحب البرتقال وهي ___ التفاح
قيصر تشين,قيصر تشين
في المواقع الموثوقة.,في المواقع الموثوقة.
ليوناردو دافنشي,ليوناردو دافنشي
على الرغم من أننا قادرون على أن نصل إلى دوري الأضواء ، ولكن متى ؟,على الرغم من أننا قادرون على أن نصل إلى دوري الأضواء ، ولكن متى ___ ؟
أنا أشاهد الأفلام الأكشن وهم الأفلام الكوميدية,أنا أشاهد الأفلام الأكشن وهم ___ يشاهدون الأفلام الكوميدية
كانبرا,كانبرا
الذوبان,الذوبان
قررت أن أكتب تدوينات عديدة فيها ملخصات كتب قرأتها و أخرى عن بعض المناطق التي سافرت إليها,قررت أن أكتب تدوينات عديدة فيها ملخصات كتب قرأتها و أخرى ___ عن بعض المناطق التي سافرت إليها
بزيادة الاستثمارات.,بزيادة الاستثمارات.
بسقيها بانتظام.,بسقيها بانتظام ___.
في كل الأوقات.,في كل الأوقات.
مواطنين,مواطنين
في الكتب والإنترنت.,في الكتب والإنترنت.
من هو الابن الأكثر احتراما للبيغ بوس بين الثلاثة الأبناء، و لماذا ؟,من هو الابن الأكثر احتراما للبيغ بوس بين الثلاثة الأبناء، و لماذا ؟
نحن نعمل في المكتب وهم في المصنع,نحن نعمل في المكتب وهم ___ في المصنع
فيما يرجع إلى مخاوف من ازدحام مراكز الاقتراع خلال جائحة كورونا وكذلك إلى الحماس الشديد,فيما يرجع إلى مخاوف من ازدحام مراكز الاقتراع خلال جائحة كورونا وكذلك ___ يرجع ___ إلى الحماس الشديد
المريخ,المريخ
باختيار الوجهة المفضلة لدينا.,باختيار الوجهة المفضلة لدينا ___.
في المحلات أو الأسواق.,في المحلات أو ___ الأسواق.
بالاجتماع بانتظام.,بالاجتماع بانتظام.
"كما يشارك في لقاء نواكشوط وفد من قيادة أركان الجيوش الفرنسية و آخر من قيادة قوة "" بارخان "".","كما يشارك في لقاء نواكشوط وفد من قيادة أركان الجيوش الفرنسية و وفد آخر من قيادة قوة "" بارخان ""."
هم يتعلمون اللغة الإسبانية ونحن اللغة الفرنسية,هم يتعلمون اللغة الإسبانية ونحن ___ اللغة الفرنسية
بالتخلص من النفايات بشكل صحيح.,بالتخلص من النفايات بشكل صحيح.
المصريون يحبون شرب الشاي والسعوديون شرب القهوة,المصريون يحبون شرب الشاي والسعوديون ___ شرب القهوة
فهناك احتمال بأنك تحمل رقماً فائزاً من نوعٍ آخر في جيبك دون أن تدري، ولكن كيف ؟,فهناك احتمال بأنك تحمل رقماً فائزاً من نوعٍ آخر في جيبك دون أن تدري ___ ، ولكن كيف ؟
جوزيف ستالين,جوزيف ستالين
من الممكن أن تستثمر سارة أموالها في البنك، أو في العقارات,من الممكن أن تستثمر سارة أموالها في البنك، أو ___ تستثمر أموالها في العقارات
من هي قدوتك من الصحابيات رضوان الله عليهن و لماذا ؟,من هي قدوتك من الصحابيات رضوان الله عليهن و لماذا ___ هي قدوتك ؟
"هذا إقتراح بسيط كحل أراه حل عملى لهذه المشكلة وهو تمويل البحث العلمى, ولكن كيف ؟","هذا إقتراح بسيط كحل أراه حل عملى لهذه المشكلة وهو تمويل البحث العلمى, ولكن كيف ___ ؟"
التمست منه زوجته ولسوات أن يغير اسمه لكنه رفض.,التمست منه زوجته ولسوات أن يغير اسمه لكنه رفض ___.
فلاديمير لينين,فلاديمير لينين
وقالوا له أنت تدخل أما هؤلاء فلا,وقالوا له أنت تدخل أما هؤلاء فلا ___
بالمراقبة الدقيقة.,بالمراقبة الدقيقة.
الأعزاء يرجعون إلى النشريات والمواقع يؤكدون يعني النهج الأموي وبعض أتباع الأمويين والوهابيين يصرحون بأنه يوم مبارك ، ولكن لماذا ؟,الأعزاء يرجعون إلى النشريات والمواقع يؤكدون يعني ___ أن النهج الأموي وبعض أتباع الأمويين والوهابيين يصرحون بأنه يوم مبارك ، ولكن لماذا ؟
وقد يكون للنفط شأن في الأعمال الروائية ولكن متى ؟,وقد يكون للنفط شأن في الأعمال الروائية ولكن متى ___ يكون له شأن ___؟
والذي لا ترضيه السنة فلا أرضاه الله، السنة تتبع ولكن ما زاد عليها فلا.,والذي لا ترضيه السنة فلا أرضاه الله، السنة تتبع ولكن ما زاد عليها فلا ___.
كانت المنطقة تعيش حالة من الفقر، وكذلك الناس ؛ حيث لا شوارع معبدة ولا كهرباء.,كانت المنطقة تعيش حالة من الفقر، وكذلك الناس ؛ حيث لا شوارع معبدة ولا كهرباء ___.
برمي القمامة في الحاويات.,برمي القمامة في الحاويات.
باستمرار تحسين مهاراتنا.,باستمرار ___ تحسين مهاراتنا.
على الشواطئ وفي الأماكن السياحية.,على الشواطئ وفي الأماكن السياحية.
بعد اتمام استبيان عن الرؤية و آخر عن الترقي والثواب والعقاب في وسائل الإعلام,بعد اتمام استبيان عن الرؤية و آخر عن الترقي والثواب والعقاب ___ في وسائل الإعلام
الجنوب,الجنوب
أنا أدرس الرياضيات وهو الفيزياء,أنا أدرس الرياضيات وهو ___ الفيزياء
فريدريك الثاني,فريدريك الثاني
لاحظت أن بعض المراحل لا يوجد فيها تعليق من ويسكر ولكن لماذا ؟,لاحظت أن بعض المراحل لا يوجد فيها تعليق من ويسكر ولكن لماذا ___ لا يوجد فيها تعليق من ويسكر ___؟
هم شاهدوا الفيلم الجديد ونحن المسلسل القديم,هم شاهدوا الفيلم الجديد ونحن ___ المسلسل القديم
الموز,الموز
نرجو تشكيل لجنة لبحث هذا الامر لدينا شكاوى مسلمة باليد و أخرى عن طريق الفاكس والاميل,نرجو تشكيل لجنة لبحث هذا الامر لدينا شكاوى مسلمة باليد و أخرى ___ مسلمة ___ عن طريق الفاكس والاميل
بالحد من الاستهلاك.,بالحد من الاستهلاك.
في فترات محددة من العمر.,في فترات محددة من العمر.
وجدير بالذكر أن هذه الدورات مقسّمة بين دورات في أحكام التجويد و أخرى في حفظ كتاب الله العزيز.,وجدير بالذكر أن هذه الدورات مقسّمة بين دورات في أحكام التجويد و دورات أخرى في حفظ كتاب الله العزيز.
لم تعد مسألة هل سيغادر القذافي السلطة أم لا، ولكنى متى ؟,لم تعد مسألة هل سيغادر القذافي السلطة أم لا، ولكنى ___ مسألة متى سيغادر القذافي السلطة ؟
بالدراسة والامتحانات.,بالدراسة والامتحانات.
سبق أن نشرنا إعلانا عن سيارة فورد تاونس موديل 1962 و آخر عن سيارة فورد جالاكسي.,سبق أن نشرنا إعلانا عن سيارة فورد تاونس موديل 1962 و ___ نشرنا إعلانا ___ آخر عن سيارة فورد جالاكسي.
أنا طويل وهو قصير نسبياً، كما أجيد ضربات الرأس، أما هو فلا.,أنا طويل وهو قصير نسبياً، كما أجيد ضربات الرأس، أما هو فلا ___ .
كما شاركت في العرض تشكيلات راجلة من الدرك الوطني و أخرى من الحرس الوطني.,كما شاركت في العرض تشكيلات راجلة من الدرك الوطني و ___ تشكيلات راجلة أخرى من الحرس الوطني.
نحن ذاهبون للتسوق وهم للمطعم,نحن ذاهبون للتسوق وهم ___ للمطعم
كل هذا الذي تفعله ليس سوى خرافات ووساوس كلها افكار غبية يجب أن نفعل ذلك ولكن كيف ؟,كل هذا الذي تفعله ليس سوى خرافات ووساوس كلها افكار غبية يجب أن نفعل ذلك ولكن كيف ___ ؟
زادني الأمر فضولاً . . لدي رغبة في معرفة ذلك الشاب . . ولكن كيف ؟,زادني الأمر فضولاً . . لدي رغبة في معرفة ذلك الشاب . . ولكن كيف ___ ؟
أنا أركض في الغابة وهو في الجبال,أنا أركض في الغابة وهو ___ في الجبال
كانت الأولوية للأفران والمشافي والنقل والاتصالات والمياه أما التدفئة فلم,كانت الأولوية للأفران والمشافي والنقل والاتصالات والمياه أما التدفئة فلم ___ .
وتضم اكاديمية لتعليم كورة القدم والتنس ايضا وكذلك متجر خاص بالأكاديمية والعديد من الأخبار,وتضم اكاديمية لتعليم كورة القدم والتنس ايضا وكذلك متجر خاص بالأكاديمية والعديد من الأخبار ___.
ربما لو قالها الشوكر نتقبلها منه ولكن من حزب محافظ فلا.,ربما لو قالها الشوكر نتقبلها منه ولكن من حزب محافظ فلا ___.
أنا متأكدة وواثقة بأن ريو سيفوز عليه ولكن كيف ؟,أنا متأكدة وواثقة بأن ريو سيفوز عليه ولكن كيف ___ ؟
بالاستماع والقراءة والكتابة والتحدث.,بالاستماع والقراءة والكتابة والتحدث.
أبقيت على بعض المال في محفظتي و قد افترض أن أعطيه أحدهم قبيل ليلة لكني نسيت.,أبقيت على بعض المال في محفظتي و قد افترض أن أعطيه أحدهم قبيل ليلة لكني نسيت ___.
وقالوا: بأن الأرض تكلمت بصوت حقيقي، والسماء كذلك ، وأن الأرض تبكي بكاء حقيقياً، وكذلك السماء.,وقالوا: بأن الأرض تكلمت بصوت حقيقي، والسماء كذلك ___ ، وأن الأرض تبكي بكاء حقيقياً، وكذلك السماء ___ .
أما الموت فهي بيد الله... الأطباء يقومون بعملهم والممرضون كذلك.,أما الموت فهي بيد الله... الأطباء يقومون بعملهم والممرضون يقومون بعملهم كذلك.
الفرق هو أن الشخص الأول يتعامل مع مشاكله بذكاءٍ عاطفي، أما الآخر فلا.,الفرق هو أن الشخص الأول يتعامل مع مشاكله بذكاءٍ عاطفي، أما الآخر فلا ___.
وفي ذات الوقت كان موقف المستشفى سلبي وكذلك الطبيب.,وفي ذات الوقت كان موقف المستشفى سلبي وكذلك ___ موقف الطبيب.
أنا أشرب العصير وهي الماء,أنا أشرب العصير وهي ___ الماء
أنا ألعب البيانو وهو الجيتار,أنا ألعب البيانو وهو ___ الجيتار
في منتجع ساحلي.,في منتجع ساحلي.
جورج واشنطن وتوماس جيفرسون,جورج واشنطن وتوماس جيفرسون
تبدلت حالتي وتحولت في لحظات هل لأنني رأيته ولكن لماذا ؟,تبدلت حالتي وتحولت في لحظات هل لأنني رأيته ولكن لماذا ___ ؟
الأردن تشتهر بالأدب العربي والجزائر بالأدب الأمازيغي,الأردن تشتهر بالأدب العربي والجزائر ___ تشتهر بالأدب الأمازيغي
كنت أتمنى قبل جولة الإعادة أن تكون هناك إجراءات صلح تشهد لها فرشوط ولكن لماذا ؟,كنت أتمنى قبل جولة الإعادة أن تكون هناك إجراءات صلح تشهد لها فرشوط ولكن لماذا ___ ؟
لا بد أن نتغير ولكن كيف ؟,لا بد أن نتغير ولكن كيف ___ ؟
كل شيء مزيف يمكن التحكم به... الزواج يمكن التحكم به، أما الحب فلا.,كل شيء مزيف يمكن التحكم به... الزواج يمكن التحكم به، أما الحب فلا ___.
الأردن تقع شرق النيل والسعودية غربه,الأردن تقع شرق النيل والسعودية ___ غربه
النيتروجين,النيتروجين
هادريان,هادريان
كما يستعرض المجلس تقريراً عن السياسة الخارجية المصرية و آخر عن نتائج جولة رئيس الوزارء لعدد من المواقع,كما يستعرض المجلس تقريراً عن السياسة الخارجية المصرية و ___ يستعرض المجلس ___ تقريراً آخر عن نتائج جولة رئيس الوزارء لعدد من المواقع
