Sentence,Manual,GeminiFew
"عمر يمكنه شراء سيارة، وحسن أيضا يستطيع",1,1
"بناء على المخطط الذي وضع بأمر ملكي، فإن هناك مشاريع انتهى إنجازها، و أخرى في الطريق.",1,1
الإبداع والابتكار يمكن أن يساهمان في تطوير الصناعات ويساهمان في تعزيز الاقتصاد.,0,0
يمكننا مساعدة الأطفال في حاجة في المؤسسات الخيرية والمدارس.,0,0
الامر الذى اصابها بارتباك شديد واحست انه يفعل ذلك عن عمد ولكن لماذا يفعل ذلك عن عمد؟,0,0
وقد يكون للنفط شأن في الأعمال الروائية ولكن متى ؟,1,1
وكان الشهيد قد وصل الى المستشفى مصابا برصاصة في الرأس ورصاصة أخرى في الصدر.,0,1
هل تفضل الإقامة في فنادق فخمة أم تفضل الإقامة في أماكن أخرى مثل الشقق المفروشة؟,0,0
الثعبان,1,1
المشتري هو أكبر كوكب في النظام الشمسي.,0,0
"الجنوب هو عكس كلمة ""الشمال""",0,0
يُضاف إليهم عنصر في القوات المسلحة الكونغولية و آخر في الجيش الرواندي.,1,1
الذوبان,1,1
انا انام فوق السرير وهم بالارض,1,1
أنا أدرس الكيمياء وهو يدرس البيولوجيا,0,0
التحديات البيئية تتطلب تعاونًا دوليًا والتحديات البيئية تحتم علينا تبني استراتيجيات مستدامة.,0,0
أبقيت على بعض المال في محفظتي و قد افترض أن أعطيه أحدهم قبيل ليلة لكني نسيت.,1,1
يمكن أن نجد الأطعمة المجففة في الأسواق.,0,0
وهؤلاء يؤمنون بالقرآن فقط ولكن السنة فلا يؤمنون بها,0,0
توسلت للمسؤولة أن تدخل معي والدتي على الأقل فرفضت.,1,1
هل يمكن ذلك عن طريق أى جامعة أجنبية أو عربية و كيف ؟,1,1
نجيب محفوظ,1,1
"الفضة هو العنصر الكيميائي الذي يمثله الرمز ""Ag"".",0,0
وقفت أتامله كان شكله جميل تمنيت لو اشتريته ولكن لماذا ؟,1,1
ما يجرى من جرائم قد بدأ ينتشر بحكم شيوع المعلومات عنها وانتشار أخبارها فى ظل (السوشيال ميديا) وما تجره على البلاد من ويلات.,0,0
"فنحن نحتاج إلى التفكير في كيفية التقليل من هذه التكاليف ، ولكن كيف نقلل من هذه التكاليف؟",0,0
الفضاء الخارجي يحتوي على نيازك والنيازك تعبر السماء بسرعات هائلة.,0,0
دواء يستخدم في حالات ارتفاع ضغط الدم وكذلك يستخدم في حالات فشل القلب,0,0
أظهرت مقاطع مصورة على موقع التواصل الاجتماعي إكس مشهدا فوضويا لحشود من الناس وهم يركضون في الشوارع.,0,0
لم أنم جيدا منذ شهور!! كما أن معدتي تؤلمني جدا وظهري أيضا.,1,1
أنا أقرأ الكتب وهي تقرأ الجرائد,0,0
"يجب أن تكون بطاقة الرقم القومي للمتقدم سارية، وفى حالة انتهاء سريانها لا يُقبل الطلب.",0,0
الكواكب الغازية تتضمن المشتري والمشتري يحمل عدة أقمار.,0,0
النيل هو أكبر نهر في العالم.,0,0
مؤسسا مدينة روما,1,1
أصر مصطفى همسا أن أبقى . . لست أدري لماذا قبلت.,1,1
أنا أحب الشوكولاتة وهي الفانيليا,1,1
في الأنهار والبحار.,1,1
نبوخذنزر هو الفلكي البابلي الذي أُسس نظرية حركة الكواكب.,0,0
الفقر يعيق التنمية الاقتصادية والفقر يمكن أن يتجاوز بمساعدات اجتماعية.,0,0
صافى احتياطات النقد الأجنبي خلال 14 شهرا وصل إلى زيادة قدرها 1.9 مليار دولار.,0,0
وجدير بالذكر أن هذه الدورات مقسّمة بين دورات في أحكام التجويد ودورات أخرى في حفظ كتاب الله العزيز.,0,1
إذ لابد أن ينزلوا من فوقها ولكن كيف ؟,1,1
أحب من الأسماء ما شابه اسمها وأحب من الأسماء ما وافقه,0,0
سنبقى هكذا حتى يتوحدوا ويحسموا أمرهم ولكن متى ؟,1,1
خرج أحد المعارضين ليعلن أن كل هذا لايساوي شيئا ولكن لماذا خرج ليعلن أن كل هذا لا يساوي شيئا؟,0,0
عشرات الآلاف من سكان العاصمة الأوكرانية يمرون يوميا أمام أحد معالم هذه المدينة التي تشهد على فترة في القرن الـ19.,0,0
الابتكار التكنولوجي يدعم التنمية الاقتصادية والابتكار التكنولوجي يعزز من التنافسية الوطنية.,0,0
كما يستعرض المجلس تقريراً عن السياسة الخارجية المصرية و تقريراً آخر عن نتائج جولة رئيس الوزارء لعدد من المواقع,0,1
أنا أقرأ الكتب وهو المجلات,1,1
"كشف فريق من العلماء بقيادة المرصد الملكي البلجيكي، أن غباراً نتج من الصخور المسحوقة في الغلاف الجوي للأرض حجب الشمس.",0,0
جان جاك روسو هو الزعيم الفرنسي الذي أثر في الفلسفة بأفكاره حول المجتمع والسلطة.,0,0
الطعام الشهي يجمع العائلة حول الطاولة.,0,0
كما شاركت في العرض تشكيلات راجلة من الدرك الوطني و أخرى من الحرس الوطني.,1,1
فلاديمير لينين هو الزعيم الذي قاد ثورة أكتوبر في روسيا.,0,0
تناول هذا المقال قيمة القمامة المنزلية وبعض الأفكار لإعادة تدويرها وكذلك أهمية تدوير القمامة للإنسان والبيئة,1,1
المسافر يفطر نعم ولكن متى يفطر المسافر؟,0,0
رومولوس وريموس في الأساطير الرومانيةهما مؤسسا مدينة روما.,0,0
المواطنون غير راضون عن استيراد السيارات المستعملة التي يقل عمرها عن ثلاث سنوات ونحن أيضا غير راضون.,0,0
بالامتناع عن التمييز.,1,1
وفي هذا السياق كشفت مصادر صناعية ومصادر أخرى في اتحاد التجارة الإيطالي أن إغلاق الصناعات قد يرفع جزئيا نهاية الشهر.,0,1
أنا على يقين أنه سيحدث ذلك في يومٍ من الأيام ولكن متى ؟,1,1
بانتظار الضوء الأخضر.,1,1
النقل العام يخفف من الزحام ويحد من التلوث والنقل العام يساهم في توفير وسائل مريحة للجميع.,0,0
هل يمكن الوقاية من السكر الوراثي قبل الاصابة به؟ و كيف يمكن الوقاية منه؟,0,0
تكون العقوبة الحبس والغرامة التي لا تقل عن عشرة آلاف جنيه.,0,0
موسكو هي العاصمة الروسية.,0,0
الإصلاحات الاقتصادية تساهم في تحسين البنية التحتية والإصلاحات الاقتصادية تعزز من الاستثمارات.,0,0
الرواية المثيرة تكشف الألغاز والرواية المثيرة تشد القراء بالإثارة.,0,0
كما عرض فيلم قصير عن بدايات السينما و فيلم آخر عن مهرجان خطوات منذ انطلاقته في العام 2013,0,1
أوضح أن ارتفاع سعر النفط كثيرا سيشجع على التحول بشكل أكبر إلى المصادر البديلة.,0,0
يقول البروفيسور أحسن تليلاني إن عبد الملك مرتاض قامة أدبية وقامة ثقافية سامقة جدا.,0,0
نجد السلع بأسعار مناسبة في الأسواق والمحلات التجارية.,0,0
نسافر إلى بلد آخر بالطائرة أو القطار.,0,0
المطاعم تقدم أصنافًا متنوعة والمطاعم تقدم أجواء رائعة للغداء.,0,0
اتفقنا أن نسافر إلى السعودية بالطائرة وهو بالباخرة,1,1
ما هي الأماكن السياحية الرئيسية في بلدك؟,0,0
نستخدم لكتابة رسائل إلكترونية بريد إلكتروني وكيبورد.,0,0
نعم السودان يمكنه أن يحقق طفرات ولكن كيف يمكنه أن يحقق طفرات؟,0,0
نتعلم اللغات الجديدة في مدارس اللغات.,0,0
نبني مستقبلنا المهني باختيار وظيفة مناسبة.,0,0
النهاية,1,1
قررت أن أكتب تدوينات عديدة فيها ملخصات كتب قرأتها و أخرى عن بعض المناطق التي سافرت إليها,1,1
الأفلام الوثائقية تسلط الضوء على الأحداث الواقعية والأفلام الوثائقية تثري المعرفة.,0,0
أنا أدرس في المدرسة وهو يدرس في الجامعة.,0,0
الدين والروحانية يعززان التسامح والتفاهم والدين والروحانية يوجهان الأخلاق ويوجهان التصرفات.,0,0
يمكننا مساعدة الأشخاص المحتاجين في المؤسسات الخيرية.,0,0
جدول الأعمال الحاجة الملحة لإعادة بناء الحزب. لكن كيف ؟,1,1
يجب أن تبدأ بتسديده عندما تبدأ بالعمل ولكن قبلها فلا تبدأ بتسديده,0,0
المجتمع المصري يحب الطعام بشكل عام والمجتمع المصري يقدر الإنسان الذي يطهو طعاما لذيذا.,0,0
أوصلت صديقي إلى منزله و أوصلت أختي إلى عملها,0,0
لم أقتنع برواية أخي وأردت منه أن يعطي الهاتف لأبي ليطمئن قلبي أكثر لكنه رفض أن يعطي الهاتف لأبي.,0,0
الصوديوم,1,1
لا يمكن الإدلاء بالرأي حتى تتكشف خيوط هذي العملية الإرهابية حتى يمكن القول لماذا مثل هذه العمل حدث و كيف ؟,1,1
"في حال تلقى عرضا من مانشستر سيتي ودفعوا ثمن الصفقة ، سأوافق على الفور فاللاعبين يشعرون بالإحباط وكذلك الجماهير.",1,1
بطرق تعليمية ممتعة.,1,1
أنا أقرأ الصحف وهو الكتب,1,1
الاستدامة السكنية تعزز من جودة الحياة والاستدامة السكنية توفر مساكن مستدامة.,0,0
رحب بها بحرارة وطلب منها أن تجلس لترتاح لكنها رفضت.,1,1
هم يتعلمون اللغة الإسبانية ونحن اللغة الفرنسية,1,1
نقوي العلاقات الاجتماعية بالمشاركة في الفعاليات الاجتماعية.,0,0
عرض فيلم وثائقي عن المملكة والعلاقة التاريخية مع إيطاليا و آخر عن تأسيس مدينة روما,1,1
وتتعلق المواجهات الثلاثة الأخرى بمباراة من ربع النهائي ومباراة أخرى من نصف النهائي فضلا عن المباراة الترتيبية من أجل المركز الثالث.,0,1
يقدم المركز خدماته لحاضنات الأعمال من خلال مشاركتهم ببرامج احتضان الأعمال المتخصصة الذي يطلقها المركز بشكل دوري.,0,0
نطور مهاراتنا الشخصية بالتعلم المستمر.,0,0
البحوث الأكاديمية التى أنجزها علماء أجانب ومصريون عن العصر الفرعونى وكذلك بحوث أكاديمية عن العصر الإسلامي,0,1
الموز,1,1
"طلب منها أن تتزوجه ، لكنها رفضت أن تتزوجه.",0,0
من المحتمل أن تعمل الأزمة الحالية على إعادة صياغة العولمة بطريقة أو بأخرى. ولكن كيف ؟,1,1
يجب أن انتقل إلى شقتي! ولكن كيف ؟,1,1
"فمن الواضح أن يسوع شفى الرجل تدريجيا، أو على مراحل. ولكن لماذا ؟",1,1
بالترشيد والتوفير.,1,1
بالتخييم ورحلات الهواء الطلق.,1,1
"تعاني مصر من انقطاع الكهرباء حاليا، وتعود أسباب انقطاع الكهرباء بمصر إلى تراجع إنتاج حقل ظهر.",0,0
في اليوم الحادي والعشرين من شهر مارس.,1,1
ماو تسي تونغ,1,1
نستخدم الكمبيوتر في العمل لإنجاز المهام والمشروعات.,0,0
الفضاء الخارجي يحيط بنا والفضاء الخارجي يمتد بلا حدود.,0,0
هل يحق لبريطانيا إعطاء اليهود هذا التصريح ؟ و لماذا يحق لبريطانيا إعطاء اليهود هذا التصريح؟,0,0
التمثيل الضوئي هو العملية التي تستخدمها النباتات لصنع طعامها الخاص.,0,0
جددت مصر موقفها الرافض لتهجير الفلسطينيين من قطاع غزة إلى أراضيها.,0,0
أنا أتحدث باللغة العربية وهو باللغة الفرنسية,1,1
أنا سآخذ الأبيض وخالد سيأخذ الأسود,0,0
في سنة 1954 عاد مرتاض إلى الجزائر ليلتحق بمعهد ابن باديس بقسنطينة قبل أشهر قليلة من اندلاع الثورة الجزائرية.,0,0
وسائل التواصل الاجتماعي تمكن الأفراد من مشاركة آرائهم ومشاركة أخبارهم بسرعة.,0,0
يساعد المركز شركات ومؤسسات القطاع الخاص على الابتكار من خلال شراكات مع الشركات الناشئة.,0,0
الأدب الإنجليزي يترك بصمة في الأدب العالمي والأدب الإنجليزي يمتلك تاريخاً عريقاً.,0,0
"التكنولوجيا الحديثة تسهم في تحسين الاتصال وتسهم في زيادة الإنتاجية، ولكن يجب أن نكون حذرين من تأثيرها على الخصوصية.",0,0
نقرأ الكتب من أجل الاستفادة.,0,0
بتنظيم وقتنا.,1,1
في منتجع ساحلي.,1,1
أنا أكتب القصائد وهي تكتب الخواطر,0,0
الأدب الأمريكي يتنوع بين الكلاسيكي والحديث والأدب الأمريكي يعكس التنوع الثقافي.,0,0
ستقام المباراة النهائية على أرض محايدة في حالة تأهل فريق من مصر و آخر من المغرب من نصف النهائي.,1,1
"يمكن للتفاح أن يبقى حيا عند وضعه في هذه الغرف، أما نحن فلا نبقى أحياء.",0,0
"إن موضوع شكل العبادة إنما يعمل الفرق عندنا نحن، أما عند الله فلا.",1,1
وفي ذات الوقت كان موقف المستشفى سلبي وكذلك كان موقف الطبيب.,0,0
اتفقنا أن نسافر إلى السعودية بالطائرة وهو سيسافر بالباخرة,0,0
الرياح تعصف بالأشجار والرياح تتأثر بضغط الهواء.,0,0
يجب علينا الاهتمام بصحة الغذاء للوقاية من الأمراض.,0,0
أصبحت الدولة كما كان يسميها أستاذنا حامد ربيع تندرج تحت قائمة الدول المسماة (الكفاحية).,0,0
يُضاف إليهم عنصر في القوات المسلحة الكونغولية وعنصر آخر في الجيش الرواندي.,0,1
أقنعها بأن العلم شيء نبيل والزواج كذلك.,1,1
عقد محافظ سوهاج اجتماعا مع اللجنة العليا المنظمة لجائزة سوهاج للتميز الوظيفى.,0,0
بتبادل الثقافات.,1,1
"أدى حادث اصطدام بين ثلاثة قطارات قرب بلدة بالاسور بولاية أوديشا في شرق الهند، إلى مقتل نحو 300 شخص.",0,0
كان إلغاء الأحزاب السياسية ثم تأميم الصحافة حدثين مهمين فى تاريخ الإعلام المصرى المظلوم دائمًا.,0,0
أمهم تلبس وتحضر الحفلات وتقوم بالزيارات وكذلك الأب يلبس ويحضر الحفلات ويقوم بالزيارات.,0,0
"علي لا يقدر أن يأتي إلى الحفلة، ولكن عمر يقدر",1,1
أتحداك أن تعرف الإجابة عشرة ألغاز خادعة لن تستطيع حلها مهما حاولت أن تعرف.,0,0
لسماع حكمة جديدة كل يوم وأخرى عن عالمات الفلك والنجوم,1,1
الكتب المثيرة تسحر القراء والكتب المثيرة تبقيهم مشدوهين.,0,0
حفل تكريم,1,1
وقفت أتامله كان شكله جميل تمنيت لو اشتريته ولكن لماذا تمنيت لو اشتريته؟,0,0
في الأوقات الصعبة.,1,1
"يا بني: الموتى فقط هم من يذوقون طعم الموت، أما الأحياء فلا.",1,1
أوضحت وزيرة التخطيط أن هذا المشروع هو الأكبر والأهم فى العائد الاستثمارى على المجتمع.,0,0
هم يسافرون إلى أمريكا ونحن إلى أوروبا,1,1
الأفلام الدرامية تمتلك قصصًا مؤثرة والأفلام الدرامية تلامس القلوب.,0,0
أغسطس أسس الإمبراطورية الرومانية.,0,0
السياحة المستدامة تعزز من الثقافات المحلية والسياحة المستدامة تحافظ على المواقع السياحية.,0,0
"عكس كلمة ""فوز"" هو خسارة.",0,0
"رأيت شخصاً طلب من موقع تشات جي بي تي أن ينتج قصيدة تمدح دونالد ترامب ، لكنه رفض أن ينتج قصيدة تمدح دونالد ترامب.",0,0
وقت الاستحمام يكون قبل النوم.,0,0
نحن نعمل في المكتب وهم في المصنع,1,1
الصحة والرعاية الطبية يجب أن تكون متاحة للجميع دون تمييز.,0,0
لأن معالي المحافظ لم يذكر لنا مبررات تراجع العقارات أو الإيجارات فقد حذر المستثمرين بأنها ستتراجع ولكن لماذا ؟,1,1
الأذن,1,1
الشمس هو النجم الذي يعطي الضوء والحرارة للأرض.,0,0
القوانين البيئية تسهم في الحفاظ على البيئة والقوانين البيئية تضمن التنمية المستدامة.,0,0
باختيار وظيفة مناسبة.,1,1
"فالدكتور لن يكون دكتورًا إلا عندما يجتاز عددًا معينًا من الساعات، وكذلك الممرض لن يكون ممرضا إلا عندما يجتاز عددًا معينًا من الساعات.",0,0
فكيف حدث ذلك وأيعقل أن يقتل الابن أباه ويفر ولكن لماذا ؟,1,1
يتخوف بعض أبناء الجاليات من الحديث للجزيرة نت خشية معاقبة الداعين ومعاقبة المشاركين في أي فعالية.,0,0
يمكننا تقدير جهود العمال بزيادة الرواتب وتوفير المزايا.,0,0
"والعبارة هي أننا سامحناكم في سبكم للمسلمين وعلمائهم ولكن الرسول الكريم صلى الله عليه وآله وسلم، فلا نسامحكم.",0,1
الأدب الفلكلوري يعكس الثقافة الشعبية والأدب الفلكلوري يحكي قصصاً تراثية.,0,0
النهاية هي عكس كلمة البداية.,0,0
الاستثمار في التعليم العالي يعزز من البحث والتطوير والاستثمار في التعليم العالي يزيد من التكنولوجيا.,0,0
بعد اتمام استبيان عن الرؤية و استبيان آخر عن الترقي والثواب والعقاب في وسائل الإعلام,0,1
"ولا بد من منع مثل هذه الكارثة، ولكن كيف ؟",1,1
الأدب الهندي يمتزج بين اللغات والثقافات والأدب الهندي يثري الأدب العالمي.,0,0
هي بالنتيجة أداتنا للتواصل مع الآخرين وهي أثيرنا الحي الذي يحمل أفكارنا ويحمل آمالنا ويحمل تطلعاتنا.,0,0
"كما يشارك في لقاء نواكشوط وفد من قيادة أركان الجيوش الفرنسية و آخر من قيادة قوة "" بارخان "".",1,1
الثقافة والتراث يمكن أن يكونا جسرًا للتواصل بين الأجيال والشعوب.,0,0
الإسبانية هي اللغة الرسمية في إسبانيا.,0,0
الدقيق,1,1
"الأعزاء يرجعون إلى النشريات والمواقع يؤكدون يعني النهج الأموي وبعض أتباع الأمويين والوهابيين يصرحون بأنه يوم مبارك ، ولكن لماذا يصرحون بأنه يوم مبارك؟",0,0
تعزيز التعاون الإقليمي يمكن أن يساهم في حل النزاعات ويمكن أن يساهم في تحقيق الازدهار.,0,0
من خلال ما سبق هل كنت تتوقع ما أقرته بريطانيا و فرنسا في مؤتمر سان ريمو 1920 م ولماذا كنت تتوقع ذلك؟,0,0
الضباب يخفي الرؤية والضباب يحدث في الصباح الباكر.,0,0
الكبار,1,1
بالتعلم المستمر.,1,1
"لم ترغب الزوجة السابقة في تسمية الوالد، ولكن لماذا ؟",1,1
أوضح أيمن العشرى رئيس غرفة القاهرة التجارية أن مبادرة تخفيض أسعار السلع الأساسية لاقت قبولا كبيرا من جانب المواطنين.,0,0
العلوم البيئية تساهم في حماية البيئة والعلوم البيئية تعمل على الحفاظ على التوازن البيئي.,0,0
اثنان,1,1
"ميغيل دي سرفانتس كتب ""دون كيشوت"".",0,0
كانبرا هي عاصمة أستراليا.,0,0
الجنوب,1,1
التحليل النفسى للتعاطى يؤكد أن كل مأزوم يلجأ إلى تعاطى المخدرات هربًا من الواقع ليعيش فى خيال مريض.,0,0
الأردن تقع شرق النيل والسعودية غربه,1,1
التسويق عبر وسائل التواصل الاجتماعي أصبح أسلوبًا شائعًا للشركات.,0,0
الثقافة العربية تحمل تنوعا غنيا والثقافة العربية تشكل جزءا من الهوية العربية.,0,0
"وكانت إسراء تعتقد أنهن ولدن أمهات بالفطرة، أما هي فلا تعتقد أنهن ولدن أمهات بالفطرة.",0,0
منهم من يعمل ويستلم راتب وكذلك رشاوي,1,1
فقالت هيلاري بصوت مليء بالثقه والإيمان: بل لا بد أن تخرج من هنا. ولكن كيف تخرج من هنا؟,0,0
"تساهم مباشرة في قتل السوريين وتدمير بلدهم، ولا تستطيع أن تتنكر لذلك مهما حاولت.",1,1
ما هو الطعام الشهير الذي يجب تجربته في وجهتك المفضلة؟,0,0
آسيا,1,1
أنا أقرأ الروايات وهو القصص,1,1
نستطيع مشاهدة النجوم والكواكب في السماء الليلية المظلمة.,0,0
حذر من الاقتران الرباعي الذي يضم المريخ وعطارد والأرض والمشتري.,0,0
الكواكب تدور حول الشمس بمدارات محددة مسببة فصول السنة.,0,0
"وتروي حياة طفلة فلسطينية تبلغ 10 سنوات في غزة ، و آخر من نفس العمر في الضفة الغربية.",1,1
فدراسة تتحدث عن الفوائد وعن المضار,1,1
مملكة كييف كانت أولى مناطق شرق أوروبا التي اعتنقت المسيحية القرون الوسطى.,0,0
"في حال تلقى عرضا من مانشستر سيتي ودفعوا ثمن الصفقة ، سأوافق على الفور فاللاعبين يشعرون بالإحباط وكذلك الجماهير تشعر بالإحباط.",0,0
كما أفادت تقارير بأن نجم فالنسيا الأسبق لديه عرضين من السعودية وعرض آخر من الإمارات.,0,1
الأردن تقع جنوب سوريا ولبنان تقع شمالها,0,1
النجوم تضيء سماء الليل والنجوم تشكل أنسامبلات سماوية.,0,0
المجتمع يهتم بالناس والشركات تهتم بأموالهم,0,0
لا تنقل أشخاص لا تعرفهم في سيارتك فالزمن لا يرحم والقانون أيضا لا يرحم.,0,0
سيرا طلبت من الاخ الثاني ان تسكن معه في طوكيو لكنه رفض.,1,1
التنمية الاقتصادية تعزز من فرص العمل والتنمية الاقتصادية تقلل من الفقر والعدالة الاجتماعية.,0,0
الفرح,1,1
بحل النزاعات.,1,1
اتخذنا قرارا لإنجاز ملعب في ورقلة و آخر في بشار.,1,1
سافروا إلى عدة مدن ساحلية وهو سافر إلى المناطق الجبلية,0,0
أنا أركض في الحديقة وهو على الشاطئ,1,1
"تعدّ جائزة ""ماركوم"" من الجوائز المرموقة على المستوى الدولي ويتنافس عليها سنويا ما يزيد على 6 آلاف و500 جهة من مختلف دول العالم.",0,0
يرى أستاذ اللسانيات الأميركي نعوم تشومسكي أن اللغة تعدّ إحدى خصائص النوع الإنساني في مكوناته الأساسية.,0,0
هم يلعبون كرة السلة ونحن كرة القدم,1,1
"فلن يتيسر لأية قيادة ولأية دكتاتورية أخرى أن تمارس هذا النهج، مهما حاولت.",1,1
أنا أكتب القصائد وهي الروايات,1,1
"وفي مجال إدارة الطاقة مقال عن نظم الإنارة العالية الكفاءة، و آخر عن مصادر الطاقة الحيوية في لبنان",1,1
الثلوج تغطي الأرض في فصل الشتاء والثلوج تعكس الضوء.,0,0
الكربون,1,1
جورج واشنطن وتوماس جيفرسون,1,1
تواصل الشرطة التركية التحقيقات مع رجل تركي اعتقل في ولاية أضنة الواقعة جنوبي البلاد على الحدود مع سوريا.,0,0
كما أحرز هدفًا عن طريق ركلة جزاء و هدفًا آخر عن طريق ركلة حرة مباشرة.,0,1
"وخصوصاً أن أوضاعك المالية ما زالت تعاني من خلل كبير . طبعاً ، ستجني المال عما قريب ، ولكن متى ستجني المال؟",0,0
فريدريك الثاني,1,1
يمكننا تعزيز التفكير النقدي بمناقشة الأفكار والآراء.,0,0
ناهيك عن مقال عن الريع الحزبي والنقابي والجمعوي و مقال آخر عن الفرق بين المناضل والانتهازي,0,1
نابليون بونابرت قاد الثورة الفرنسية وأصبح إمبراطورًا.,0,0
"وهناك الكثير ممن يقول أريد أن أكون إنساناً فاضلاً ، إنساناً كاملاً ناجحاً في الحياة ، ولكن كيف أكون كذلك؟",0,1
الشعر الكلاسيكي يجسد الجمال والشعر الكلاسيكي يترك أثرًا دائمًا.,0,0
إبريل هو الشهر الذي يأتي بعد شهر مارس.,0,0
أصر مصطفى همسا أن أبقى . . لست أدري لماذا قبلت أن أبقى.,0,0
الاحباط,1,1
"ويشترون منتجات فلسطينية طبيعية من الأرض الفلسطينية، ومنتجات أخرى من منتجات يدوية.",0,1
طلبنا منهم أن يكونوا جزءاً من لجنة الحوار لكنهم رفضوا أن يكونوا جزءاً من لجنة الحوار.,0,0
خوفو هو الفرعون الذي بنى الهرم الأكبر.,0,0
بعدم التصرف غير المسؤول.,1,1
المصريون يحبون شرب الشاي والسعوديون يحبون شرب القهوة,0,0
"موقف الرئاسة في أوكرانيا انحاز سريعا وبقوة لصالح الاحتلال مع بداية الحرب، قبل أن تعدله وزارة الخارجية في وقت لاحق ببيان تحدث عن أهمية حل الدولتين لحل القضية.",0,0
استوردت وزارة التموين أكثر من 11 ألف رأس ماشية من دولة جيبوتى من الكميات المتعاقد عليها.,0,0
وأوضح العقيد شما أن حريقين اندلعا اليوم في ريف منطقة بانياس و آخر في صافيتا.,1,1
"فالرجل يستطيع أن يطلب من صديقه كوباً من الماء وعوناً مالياً أيضاً، أما زوجته فلا تستطيع.",0,1
النقل العام يجعل التنقل أكثر سهولة والنقل العام يحد من الازدحام المروري.,0,0
أهمية التعليم هي تمكين الأفراد وتطوير المجتمع.,0,0
في الجريدة أو الإذاعة.,1,1
أنا أتحدث باللغة العربية وهو يتحدث باللغة الفرنسية,0,0
الأردن تقع شرق فلسطين والعراق غربها,1,1
تهطل الأمطار في مصر في فصل الشتاء و في أمريكا طوال العام.,1,1
النقل الجوي يسهم في التجارة العالمية والنقل الجوي يجعل العالم أصغر.,0,0
هل يمكن توضيح دور الأدب ودور الفنون في الحفاظ على الهوية الثقافية؟,0,0
أعرب ممثلو الشركة عن اهتمامهم بالعمل في المقصد السياحي المصرى الذى يعد من المقاصد السياحية الهامة لدى السائح الصينى.,0,0
و ما هو سبب ظهور الأشياء المحرمة و المحظورات و هل تختلف المحظورات من منطقة لأخرى؟ و لماذا ؟,1,1
"وفي مجال إدارة الطاقة مقال عن نظم الإنارة العالية الكفاءة، و مقال آخر عن مصادر الطاقة الحيوية في لبنان",0,1
الزواج يعبر عن التزام الشريكين والزواج يتطلب التفهم ويتطلب الصداقة.,0,0
هل استطاعت بعض النساء العربيات التغلب على هذه العقبات؟ و كيف ؟,1,1
القصص الفانتازية تأسر الخيال والقصص الفانتازية تنقلنا إلى عوالم سحرية.,0,0
العلم والبحث العلمي يلعبان دورًا مهمًا في تقدم المجتمع ويلعبان دورًا مهمًا في تحسين جودة الحياة.,0,0
أنا أدرس الجغرافيا وهو التاريخ,1,1
القوانين الدولية تنظم العلاقات بين الدول والقوانين الدولية تسهم في حل النزاعات الدولية.,0,0
باستمرار تحسين مهاراتنا.,1,1
أنا أكتب الرسائل وهي تكتب البريد الإلكتروني,0,0
أطلق المعهد القومي للحوكمة والتنمية المستدامة الموقع الإلكتروني الرسمي لمركز مصر لريادة الأعمال.,0,0
نساهم في حماية البيئة بالحد من الاستهلاك.,0,0
بزيادة الرواتب وتوفير المزايا.,1,1
قررت أن أكتب تدوينات عديدة فيها ملخصات كتب قرأتها وأخرى عن بعض المناطق التي سافرت إليها,1,1
"فقال: ""إن العالم يعاملني معاملة طيبة، أما الناس الذين فيه فلا "".",1,1
"الديمقراطية الممكنة في حالة ""دولة إسرائيل"" تكون فقط ديموقراطية بالنسبة لليهود وليس ديموقراطية تجاه الفلسطينيين.",0,0
"فجمع عينات من تراب القمر، و أخرى من صخوره ومعادنه.",1,1
"وللعلم أن السوري يطبق ما طرحنا حين يستثمر خارجياً، أما داخلياً فلا.",1,1
كانت كل يوم تغير مكانها... للأسف فقط جلوسها أمامي يسبب لها الوجع ولكن الأماكن الأخرى فلا تسبب لها الوجع.,0,0
بعد شهر رمضان.,1,1
ما هي أسوأ تجربة سفر مررت بها في حياتك؟,0,0
هل تأمل بالعودة للجزائر و متى تأمل بالعودة إليها؟,0,0
في المرة الأولى تساهلت معك ولكن الآن فلا تساهل معك,0,1
هم يحبون كرة القدم ونحن كرة السلة,1,1
"وإن تعددت الروايات من حولها فلا بد أن يأتي ذلك اليوم، ولكن متى يأتي ذلك اليوم؟",0,0
هم شاهدوا الفيلم الجديد ونحن شاهدنا المسلسل القديم,0,0
هل تعتبر نفسك محظوظ و لماذا تعتبر نفسك محظوظاً؟,0,0
أضافت الشرطة أن قتالا اندلع بين مجموعتين في حوالي الساعة الثالثة صباحا في حي يبور سيتي التاريخي.,0,0
بغسل الأطباق وكنس الأرضية.,1,1
بالمشاركة في الفعاليات الاجتماعية.,1,1
ولا يخفي عليكم بأنها منطقة عشوائية وأخي الأكبر متزوج ويسكن بنفس العقار والأصغر كذلك.,1,1
"الأخطاء الشخصية في حقي أنا مسامحك عنها ربنا يحلك، أما الأخطاء اللاهوتية والعقائدية فلا.",1,1
في الشهر الماضي.,1,1
هل يمكن توضيح العوامل التي تؤثر على الصحة العقلية وكيف يمكن الحفاظ عليها؟,0,0
المصابيح أو الشموع.,1,1
أنا أقرأ الكتب وهو يقرأ المجلات,0,0
"والجزء الأكبر من تلك الطرق معبد بواقع 3،732،757 كم أما الباقي فلا",1,1
تتحدث السفيرة اللغة التركية ونائبها يتحدث اللغة الفارسية,0,0
